elapsed_time,data
4.4253,"orientation: [0.2799, 0.2987, -0.8995, 0.1527], angular_velocity: [-0.1391, 0.2783, 0.0696], linear_acceleration: [0.4102, -0.0703, 0.8789]"
4.4753,"orientation: [0.2915, 0.2972, -0.8952, 0.1589], angular_velocity: [0.0696, -0.2087, 0.2783], linear_acceleration: [0.4062, -0.0625, 0.8867]"
4.5252,"orientation: [0.3032, 0.2957, -0.8906, 0.1654], angular_velocity: [0.0696, 0.0696, 0.0000], linear_acceleration: [0.4102, -0.0781, 0.8750]"
4.5753,"orientation: [0.3151, 0.2942, -0.8858, 0.1719], angular_velocity: [0.0696, -0.2087, -0.2087], linear_acceleration: [0.4062, -0.0742, 0.8828]"
4.6252,"orientation: [0.3271, 0.2925, -0.8807, 0.1785], angular_velocity: [0.0000, -0.1391, 0.0000], linear_acceleration: [0.4102, -0.0742, 0.8789]"
4.6752,"orientation: [0.3393, 0.2906, -0.8753, 0.1852], angular_velocity: [-0.0696, 0.0000, 0.2783], linear_acceleration: [0.4102, -0.0742, 0.8828]"
4.7252,"orientation: [0.3517, 0.2886, -0.8696, 0.1919], angular_velocity: [-0.0696, 0.1391, 0.0000], linear_acceleration: [0.4180, -0.0781, 0.8828]"
4.7753,"orientation: [0.3640, 0.2866, -0.8636, 0.1988], angular_velocity: [0.1391, -0.2087, 0.2783], linear_acceleration: [0.4102, -0.0781, 0.8906]"
4.8253,"orientation: [0.3766, 0.2844, -0.8573, 0.2057], angular_velocity: [-0.1391, 0.0696, 0.1391], linear_acceleration: [0.4062, -0.0781, 0.8906]"
4.8753,"orientation: [0.3891, 0.2821, -0.8508, 0.2127], angular_velocity: [0.2087, 0.0000, 0.3478], linear_acceleration: [0.4141, -0.0781, 0.8789]"
4.9253,"orientation: [0.4018, 0.2797, -0.8439, 0.2196], angular_velocity: [-0.1391, 0.0000, 0.0000], linear_acceleration: [0.4141, -0.0781, 0.8867]"
4.9754,"orientation: [0.4145, 0.2772, -0.8366, 0.2267], angular_velocity: [0.0000, 0.0000, 0.2087], linear_acceleration: [0.4102, -0.0781, 0.8828]"
5.0252,"orientation: [0.4272, 0.2747, -0.8291, 0.2337], angular_velocity: [0.0000, 0.0000, -0.1391], linear_acceleration: [0.4062, -0.0820, 0.8828]"
5.0754,"orientation: [0.4400, 0.2720, -0.8212, 0.2408], angular_velocity: [0.0000, 0.1391, 0.1391], linear_acceleration: [0.4141, -0.0820, 0.8906]"
5.1252,"orientation: [0.4528, 0.2692, -0.8131, 0.2477], angular_velocity: [-0.2087, 0.0000, 0.2087], linear_acceleration: [0.4102, -0.0742, 0.8867]"
5.1753,"orientation: [0.4655, 0.2662, -0.8047, 0.2547], angular_velocity: [-0.1391, -0.0696, 0.2087], linear_acceleration: [0.4141, -0.0820, 0.8867]"
5.2253,"orientation: [0.4782, 0.2634, -0.7959, 0.2618], angular_velocity: [0.1391, -0.1391, -0.1391], linear_acceleration: [0.4102, -0.0820, 0.8828]"
5.2753,"orientation: [0.4909, 0.2604, -0.7868, 0.2686], angular_velocity: [0.0000, 0.0696, -0.0696], linear_acceleration: [0.4141, -0.0703, 0.8828]"
5.3252,"orientation: [0.5034, 0.2573, -0.7775, 0.2755], angular_velocity: [-0.1391, -0.2087, -0.1391], linear_acceleration: [0.4062, -0.0781, 0.8828]"
5.3753,"orientation: [0.5159, 0.2542, -0.7678, 0.2823], angular_velocity: [0.0696, -0.0696, -0.1391], linear_acceleration: [0.4102, -0.0742, 0.8828]"
5.4252,"orientation: [0.5283, 0.2508, -0.7579, 0.2891], angular_velocity: [-0.0696, -0.0696, 0.2087], linear_acceleration: [0.4102, -0.0742, 0.8828]"
5.4753,"orientation: [0.5406, 0.2474, -0.7478, 0.2957], angular_velocity: [-0.1391, -0.2783, 0.0000], linear_acceleration: [0.4141, -0.0742, 0.8945]"
5.5253,"orientation: [0.5527, 0.2439, -0.7373, 0.3024], angular_velocity: [0.0000, 0.0696, 0.0696], linear_acceleration: [0.4141, -0.0781, 0.8789]"
5.5753,"orientation: [0.5646, 0.2404, -0.7266, 0.3090], angular_velocity: [0.2783, 0.0000, 0.1391], linear_acceleration: [0.4219, -0.0742, 0.8867]"
5.6252,"orientation: [0.5764, 0.2367, -0.7156, 0.3156], angular_velocity: [0.0000, -0.0696, 0.0696], linear_acceleration: [0.4062, -0.0781, 0.8828]"
5.6754,"orientation: [0.5881, 0.2330, -0.7044, 0.3220], angular_velocity: [0.1391, 0.1391, 0.0696], linear_acceleration: [0.4102, -0.0742, 0.8711]"
5.7253,"orientation: [0.5995, 0.2292, -0.6930, 0.3283], angular_velocity: [-0.0696, 0.0696, 0.1391], linear_acceleration: [0.4023, -0.0742, 0.8828]"
5.7753,"orientation: [0.6108, 0.2252, -0.6814, 0.3344], angular_velocity: [-0.0696, 0.0696, 0.1391], linear_acceleration: [0.4102, -0.0742, 0.8828]"
5.8252,"orientation: [0.6217, 0.2213, -0.6698, 0.3405], angular_velocity: [0.0000, -0.2087, 0.1391], linear_acceleration: [0.4141, -0.0781, 0.8867]"
5.8753,"orientation: [0.6324, 0.2175, -0.6579, 0.3463], angular_velocity: [0.0696, -0.2783, -0.1391], linear_acceleration: [0.4141, -0.0703, 0.8789]"
5.9252,"orientation: [0.6429, 0.2136, -0.6459, 0.3521], angular_velocity: [0.2783, -0.0696, -0.0696], linear_acceleration: [0.4180, -0.0781, 0.8789]"
5.9753,"orientation: [0.6533, 0.2096, -0.6336, 0.3576], angular_velocity: [-0.2087, 0.2087, -0.0696], linear_acceleration: [0.4062, -0.0664, 0.8906]"
6.0254,"orientation: [0.6633, 0.2056, -0.6213, 0.3629], angular_velocity: [-0.1391, 0.0000, -0.0696], linear_acceleration: [0.4062, -0.0664, 0.8750]"
6.0753,"orientation: [0.6731, 0.2014, -0.6089, 0.3682], angular_velocity: [-0.1391, 0.0696, 0.0696], linear_acceleration: [0.4180, -0.0742, 0.8867]"
6.1253,"orientation: [0.6826, 0.1972, -0.5965, 0.3734], angular_velocity: [-0.0696, 0.1391, 0.0000], linear_acceleration: [0.4141, -0.0781, 0.8828]"
6.1752,"orientation: [0.6918, 0.1932, -0.5839, 0.3784], angular_velocity: [0.0696, -0.0696, 0.0696], linear_acceleration: [0.4023, -0.0664, 0.8789]"
6.2254,"orientation: [0.7007, 0.1890, -0.5713, 0.3833], angular_velocity: [0.1391, 0.0000, 0.0696], linear_acceleration: [0.4102, -0.0742, 0.8828]"
6.2753,"orientation: [0.7093, 0.1849, -0.5588, 0.3879], angular_velocity: [-0.2087, -0.0696, -0.1391], linear_acceleration: [0.4102, -0.0703, 0.8789]"
6.3254,"orientation: [0.7177, 0.1807, -0.5461, 0.3925], angular_velocity: [0.2087, 0.1391, 0.0696], linear_acceleration: [0.4102, -0.0742, 0.8867]"
6.3752,"orientation: [0.7256, 0.1766, -0.5337, 0.3968], angular_velocity: [-0.0696, -0.2087, -0.1391], linear_acceleration: [0.4141, -0.0781, 0.8789]"
6.4253,"orientation: [0.7334, 0.1725, -0.5211, 0.4011], angular_velocity: [0.0000, -0.1391, 0.0000], linear_acceleration: [0.4062, -0.0703, 0.8867]"
6.4753,"orientation: [0.7408, 0.1683, -0.5087, 0.4051], angular_velocity: [0.0000, -0.0696, 0.0696], linear_acceleration: [0.4141, -0.0781, 0.8750]"
6.5252,"orientation: [0.7479, 0.1642, -0.4963, 0.4092], angular_velocity: [0.1391, 0.0000, 0.2783], linear_acceleration: [0.4180, -0.0781, 0.8828]"
6.5752,"orientation: [0.7547, 0.1600, -0.4839, 0.4131], angular_velocity: [-0.0696, 0.1391, 0.3478], linear_acceleration: [0.4180, -0.0781, 0.8789]"
6.6252,"orientation: [0.7613, 0.1559, -0.4717, 0.4167], angular_velocity: [0.0696, -0.1391, 0.2087], linear_acceleration: [0.4141, -0.0742, 0.8867]"
6.6753,"orientation: [0.7676, 0.1518, -0.4595, 0.4201], angular_velocity: [-0.2087, -0.0696, -0.0696], linear_acceleration: [0.4141, -0.0781, 0.8828]"
6.7252,"orientation: [0.7738, 0.1477, -0.4473, 0.4235], angular_velocity: [0.0000, 0.0696, 0.0696], linear_acceleration: [0.4062, -0.0742, 0.8867]"
