elapsed_time,u_meas (mm),alphadot_meas (rad/s),phi_meas (rad)
0.1718,0.0,0.0,0.0
0.2714,0.0,0.0,0.0
0.3711,0.0,0.0,0.0
0.4714,0.0,0.0,0.0
0.5714,0.0,0.0,0.0
0.6716,0.0,0.0,0.0
0.7714,0.0,0.0,0.0
0.8714,0.0,0.0,0.0
0.9715,0.0,0.0,0.0
1.0714,0.0,0.0,0.0
1.1715,0.0,0.0,0.0
1.2715,0.0,0.0,0.0
1.3710,0.0,0.0,0.0
1.4710,0.0,0.0,0.0
1.5711,0.0,0.0,0.0
1.6712,0.0,0.0,0.0
1.7711,0.0,0.0,0.0
1.8711,0.0,0.0,0.0
1.9713,0.0,0.0,0.0
2.0712,0.0,0.0,0.0
2.1711,0.0,0.0,0.0
2.2710,0.0,0.0,0.0
2.3712,0.0,0.0,0.0
2.4711,0.0,0.0,0.0
2.5711,0.0,0.0,0.0
2.6714,0.0,0.0,0.29260799288749695
2.7711,0.0,0.0,0.30506405234336853
2.8711,0.0,0.0,0.293768048286438
2.9713,0.0,0.0,0.2810605466365814
3.0711,0.0,0.0,0.2934076189994812
3.1711,0.0,0.0,0.27661994099617004
3.2710,0.0,0.0,0.29493704438209534
3.3710,0.0,0.0,0.2849184274673462
3.4712,0.0,0.0,0.30527549982070923
3.5713,0.0,0.0,0.30893075466156006
3.6712,0.0,0.0,0.29611513018608093
3.7712,0.0,0.0,0.30384963750839233
3.8710,0.0,0.0,0.30384963750839233
3.9711,0.0,0.0,0.32302120327949524
4.0711,0.0,0.0,0.2694356143474579
4.1713,0.0,0.0,0.28834396600723267
4.2712,0.0,0.0,0.2910696566104889
4.3711,0.0,0.0,0.30239811539649963
4.4711,0.0,0.0,0.31546133756637573
4.5712,0.0,0.0,0.2849184274673462
4.6711,0.0,0.0,0.27441078424453735
4.7711,0.0,0.0,0.3268918991088867
4.8710,0.0,0.0,0.2860514521598816
4.9712,0.0,0.0,0.28217989206314087
5.0712,0.0,0.0,0.27609702944755554
5.1713,0.0,0.0,0.2833079695701599
5.2712,0.0,0.0,0.2976129353046417
5.3710,0.0,0.0,0.28217989206314087
5.4712,0.0,0.0,0.2815711796283722
5.5712,0.0,0.0,0.27441078424453735
5.6713,0.0,0.0,0.2849184274673462
5.7712,0.0,0.0,0.3014487624168396
5.8710,0.0,0.0,0.30264461040496826
5.9711,0.0,0.0,0.2910696566104889
6.0711,0.0,0.0,0.293768048286438
6.1714,0.0,0.0,0.333099365234375
6.2712,0.0,0.0,0.293768048286438
6.3709,0.0,0.0,0.28217989206314087
6.4711,0.0,0.0,0.29260799288749695
6.5711,0.0,0.0,0.29493704438209534
6.6713,0.0,0.0,0.283794105052948
6.7712,0.0,0.0,0.2844448387622833
6.8711,0.0,0.0,0.3077029585838318
6.9711,0.0,0.0,0.287193238735199
7.0712,0.0,0.0,0.2910696566104889
7.1712,0.0,0.0,0.30909299850463867
7.2711,0.0,0.0,0.29260799288749695
7.3709,0.0,0.0,0.29145678877830505
7.4710,0.0,0.0,0.2860514521598816
7.5714,0.0,0.0,0.29145678877830505
7.6711,0.0,0.0,0.30239811539649963
7.7715,0.0,0.0,0.30264461040496826
7.8711,0.0,0.0,0.29493704438209534
7.9711,0.0,0.0,0.2626933455467224
8.0711,0.0,0.0,0.28876760601997375
8.1713,0.0,0.0,0.32682666182518005
8.2712,0.0,0.0,0.31403863430023193
8.3710,0.0,0.0,0.279949814081192
8.4712,0.0,0.0,0.25773558020591736
8.5711,0.0,0.0,0.38565337657928467
8.6712,0.0,0.0,0.24889637529850006
8.7711,0.0,0.0,0.2987954020500183
8.8711,0.0,0.0,0.3446473181247711
8.9712,0.0,0.0,0.2626933455467224
9.0711,0.0,0.0,0.32047340273857117
9.1712,0.0,0.0,0.31920602917671204
9.2711,0.0,0.0,0.27609702944755554
9.3710,0.0,0.0,0.32942304015159607
9.4718,0.0,0.0,0.28991419076919556
9.5711,0.0,0.0,0.28217989206314087
9.6711,0.0,0.0,0.3243015706539154
9.7711,0.0,0.0,0.2860514521598816
9.8713,0.0,0.0,0.29493704438209534
9.9712,0.0,0.0,0.30648455023765564
10.0713,0.0,0.0,0.2999870181083679
10.1713,0.0,0.0,0.30893075466156006
10.2712,0.0,0.0,0.3281199038028717
10.3711,0.0,0.0,0.3014487624168396
10.4711,0.0,0.0,0.31154683232307434
10.5712,0.0,0.0,0.30506405234336853
10.6712,0.0,0.0,0.3014487624168396
10.7712,0.0,0.0,0.2922340929508209
10.8712,0.0,0.0,0.29611513018608093
10.9711,0.0,0.0,0.3014487624168396
11.0711,0.0,0.0,0.3243015706539154
11.1712,0.0,0.0,0.2987954020500183
11.2712,0.0,0.0,0.3127879202365875
11.3710,0.0,0.0,0.293768048286438
11.4713,0.0,0.0,0.30384963750839233
11.5712,0.0,0.0,0.32932615280151367
11.6711,0.0,0.0,0.2860514521598816
11.7711,0.0,0.0,0.3077029585838318
11.8711,0.0,0.0,0.30909299850463867
11.9714,0.0,0.0,0.2860514521598816
12.0710,0.0,0.0,0.3153811991214752
12.1712,0.0,0.0,0.29493704438209534
12.2712,0.0,0.0,0.30527549982070923
12.3710,0.0,0.0,0.3243015706539154
12.4712,0.0,0.0,0.2860514521598816
12.5712,0.0,0.0,0.31794828176498413
12.6717,0.0,0.0,0.30628785490989685
12.7710,0.0,0.0,0.2984989285469055
12.8715,0.0,0.0,0.31663551926612854
12.9711,0.0,0.0,0.293768048286438
13.0712,0.0,0.0,0.3243015706539154
13.1711,0.0,0.0,0.2976129353046417
13.2711,0.0,0.0,0.30893075466156006
13.3709,0.0,0.0,0.31920602917671204
13.4711,0.0,0.0,0.29493704438209534
13.5710,0.0,0.0,0.31663551926612854
13.6711,0.0,0.0,0.30648455023765564
13.7711,0.0,0.0,0.3153811991214752
13.8712,0.0,0.0,0.3307361900806427
13.9712,0.0,0.0,0.2810605466365814
14.0710,0.0,0.0,0.33440810441970825
14.1711,0.0,0.0,0.3014487624168396
14.2710,0.0,0.0,0.31413647532463074
14.3711,0.0,0.0,0.3127879202365875
14.4712,0.0,0.0,0.287193238735199
14.5711,0.0,0.0,0.32942304015159607
14.6714,0.0,0.0,0.30628785490989685
14.7712,0.0,0.0,0.30264461040496826
14.8717,0.0,0.0,0.31154683232307434
14.9712,0.0,0.0,0.31154683232307434
15.0712,0.0,0.0,0.3077029585838318
15.1711,0.0,0.0,0.33951517939567566
15.2711,0.0,0.0,0.2733190655708313
15.3710,0.0,0.0,0.32302120327949524
15.4711,0.0,0.0,0.3011879026889801
15.5713,0.0,0.0,0.3014487624168396
15.6717,0.0,0.0,0.30628785490989685
15.7711,0.0,0.0,0.3040756285190582
15.8712,0.0,0.0,0.32682666182518005
15.9712,0.0,0.0,0.31403863430023193
16.0712,0.0,0.0,0.30909299850463867
16.1712,0.0,0.0,0.3153811991214752
16.2712,0.0,0.0,0.28834396600723267
16.3712,0.0,0.0,0.3204895257949829
16.4713,0.0,0.0,0.31413647532463074
16.5710,0.0,0.0,0.2976129353046417
16.6712,0.0,0.0,0.3243015706539154
16.7711,0.0,0.0,0.30384963750839233
16.8713,0.0,0.0,0.31663551926612854
16.9712,0.0,0.0,0.30384963750839233
17.0713,0.0,0.0,0.30264461040496826
17.1714,0.0,0.0,0.3153811991214752
17.2717,0.0,0.0,0.28950366377830505
17.3710,0.0,0.0,0.32302120327949524
17.4711,0.0,0.0,0.3040756285190582
17.5712,0.0,0.0,0.31413647532463074
17.6712,0.0,0.0,0.32175055146217346
17.7711,0.0,0.0,0.33590662479400635
17.8711,0.0,0.0,0.31016805768013
17.9713,0.0,0.0,0.30648455023765564
18.0711,0.0,0.0,0.32047340273857117
