elapsed_time,data
1.3264,231.18206787109375
1.3618,232.33250427246094
1.4125,234.37356567382812
1.4628,231.69482421875
1.5126,233.8769073486328
1.5619,231.43699645996094
1.6135,234.1040802001953
1.6622,232.85923767089844
1.7125,234.0663299560547
1.7620,231.75668334960938
1.8126,234.9506378173828
1.8620,230.92996215820312
1.9126,234.1040802001953
1.9619,230.12936401367188
2.0126,235.2262420654297
2.0619,230.86016845703125
2.1127,234.0663299560547
2.1619,230.92996215820312
2.2126,234.6133270263672
2.2619,231.81729125976562
2.3127,232.33250427246094
2.3619,231.69482421875
2.4126,234.1040802001953
2.4619,232.01510620117188
2.5126,234.6133270263672
2.5619,231.37159729003906
2.6126,235.1995391845703
2.6619,231.37159729003906
2.7127,234.37356567382812
2.7619,231.75668334960938
2.8127,234.6133270263672
2.8619,231.37159729003906
2.9126,234.6779327392578
2.9619,232.01510620117188
3.0126,234.6459503173828
3.0619,231.43699645996094
3.1126,234.6459503173828
3.1619,230.86016845703125
3.2128,234.6459503173828
3.2619,231.11444091796875
3.3127,234.6459503173828
3.3619,231.11444091796875
3.4127,234.37356567382812
3.4619,230.5354766845703
3.5126,234.33836364746094
3.5619,230.86016845703125
3.6125,234.1040802001953
3.6619,231.43699645996094
3.7126,233.79721069335938
3.7619,231.75668334960938
3.8126,235.2262420654297
3.8619,230.36016845703125
3.9126,234.9506378173828
3.9619,230.86016845703125
4.0127,234.9212646484375
4.0619,231.37159729003906
4.1126,233.7561798095703
4.1619,231.24832153320312
4.2126,235.2262420654297
4.2619,231.11444091796875
4.3126,234.37356567382812
4.3617,231.37159729003906
4.4125,234.6133270263672
4.4619,231.75668334960938
4.5127,234.8913116455078
4.5619,230.86016845703125
4.6125,234.9506378173828
4.6619,231.95555114746094
4.7125,234.30239868164062
4.7619,230.86016845703125
4.8126,235.5282745361328
4.8619,230.92996215820312
4.9126,234.37356567382812
4.9619,231.11444091796875
5.0126,233.7561798095703
5.0619,230.92996215820312
5.1125,234.0663299560547
5.1619,230.86016845703125
5.2126,234.33836364746094
5.2619,230.5354766845703
5.3127,234.6459503173828
5.3619,231.69482421875
5.4125,234.9506378173828
5.4619,230.86016845703125
5.5126,234.9212646484375
5.5618,231.69482421875
5.6125,234.0663299560547
5.6619,232.3874969482422
5.7126,234.33836364746094
5.7618,231.11444091796875
5.8125,234.6459503173828
5.8619,230.92996215820312
5.9126,234.9506378173828
5.9619,231.11444091796875
6.0126,234.0663299560547
6.0619,230.6087646484375
6.1126,234.33836364746094
6.1619,230.78900146484375
6.2126,234.37356567382812
6.2620,231.11444091796875
6.3125,233.17481994628906
6.3619,230.86016845703125
6.4126,233.9884796142578
6.4619,230.86016845703125
6.5125,233.79721069335938
6.5619,231.50108337402344
6.6125,234.6133270263672
6.6619,230.6087646484375
6.7126,234.9212646484375
6.7619,231.69482421875
6.8126,234.9506378173828
6.8619,231.43699645996094
6.9125,235.2262420654297
6.9619,231.69482421875
7.0126,234.6779327392578
7.0619,231.18206787109375
7.1125,233.7142791748047
7.1619,230.6087646484375
7.2125,234.6459503173828
7.2619,230.6087646484375
7.3126,234.9212646484375
7.3619,231.50108337402344
7.4125,234.9212646484375
7.4619,230.36016845703125
7.5126,234.9794158935547
7.5619,230.6087646484375
7.6125,234.1040802001953
7.6619,231.75668334960938
7.7125,233.79721069335938
7.7619,231.11444091796875
7.8125,234.33836364746094
7.8619,230.36016845703125
7.9126,234.33836364746094
7.9618,231.75668334960938
8.0125,234.9212646484375
8.0619,231.43699645996094
8.1125,234.0663299560547
8.1619,230.86016845703125
8.2125,234.37356567382812
8.2619,230.92996215820312
8.3125,234.6459503173828
8.3619,230.6087646484375
8.4125,234.6779327392578
8.4619,230.92996215820312
8.5125,234.02780151367188
8.5619,231.18206787109375
8.6125,233.8374481201172
8.6619,231.50108337402344
8.7126,234.6779327392578
8.7619,231.18206787109375
8.8126,234.9506378173828
8.8618,230.92996215820312
8.9125,233.4874725341797
8.9619,231.11444091796875
9.0126,234.0663299560547
9.0620,231.50108337402344
9.1125,233.44305419921875
9.1619,230.78900146484375
9.2126,234.9506378173828
9.2619,230.68064880371094
9.3126,233.4874725341797
9.3619,232.07350158691406
9.4126,234.0663299560547
9.4619,231.69482421875
9.5125,233.7561798095703
9.5619,230.86016845703125
9.6125,234.0663299560547
9.6619,231.11444091796875
9.7125,234.37356567382812
9.7619,231.50108337402344
9.8125,234.40811157226562
9.8623,231.87673950195312
9.9126,234.02780151367188
9.9619,231.50108337402344
10.0126,233.4874725341797
10.0619,231.50108337402344
10.1125,234.33836364746094
10.1619,231.75668334960938
10.2126,235.25241088867188
10.2619,232.64706420898438
10.3125,233.4874725341797
10.3619,231.43699645996094
10.4125,234.33836364746094
10.4620,232.33250427246094
10.5126,233.7561798095703
10.5619,231.43699645996094
10.6125,234.0663299560547
10.6620,232.01510620117188
10.7125,234.02780151367188
10.7619,230.92996215820312
10.8125,234.33836364746094
10.8619,230.92996215820312
10.9126,234.1040802001953
10.9619,232.5944366455078
11.0126,234.6133270263672
11.0619,232.33250427246094
11.1125,234.33836364746094
11.1619,231.43699645996094
11.2126,234.0663299560547
11.2620,231.50108337402344
11.3125,234.02780151367188
11.3619,231.50108337402344
11.4125,234.02780151367188
11.4619,231.18206787109375
11.5125,235.25241088867188
11.5619,232.33250427246094
11.6125,234.37356567382812
11.6619,231.11444091796875
11.7126,234.9506378173828
11.7619,231.50108337402344
11.8125,234.33836364746094
11.8619,231.43699645996094
11.9125,234.0663299560547
11.9619,231.75668334960938
12.0125,233.4874725341797
12.0619,231.18206787109375
12.1125,234.0663299560547
12.1619,231.18206787109375
12.2125,234.37356567382812
12.2620,231.11444091796875
12.3126,234.02780151367188
12.3619,232.33250427246094
12.4126,233.7142791748047
12.4619,231.95555114746094
12.5125,233.7561798095703
12.5619,232.3874969482422
12.6125,233.7142791748047
12.6619,232.27645874023438
12.7125,234.0663299560547
12.7619,231.81729125976562
12.8125,234.9212646484375
12.8623,232.13072204589844
12.9128,235.00762939453125
12.9619,231.69482421875
13.0128,234.1040802001953
13.0620,232.1868438720703
13.1127,234.02780151367188
13.1619,231.75668334960938
13.2126,233.7561798095703
13.2619,232.07350158691406
13.3125,234.6133270263672
13.3619,232.01510620117188
13.4125,234.02780151367188
13.4619,232.33250427246094
13.5125,234.0663299560547
13.5619,231.69482421875
13.6125,233.4874725341797
13.6619,232.69866943359375
13.7126,233.2216796875
13.7619,232.33250427246094
13.8125,233.4874725341797
13.8619,233.2216796875
13.9126,233.1269989013672
13.9620,232.64706420898438
14.0126,233.79721069335938
14.0619,231.43699645996094
14.1125,232.95877075195312
14.1619,231.75668334960938
14.2125,234.1040802001953
14.2619,232.33250427246094
14.3126,233.1269989013672
14.3620,232.27645874023438
14.4126,233.17481994628906
14.4619,232.07350158691406
14.5125,233.7561798095703
14.5619,231.43699645996094
14.6125,233.7142791748047
14.6619,232.3874969482422
14.7126,232.95877075195312
14.7619,231.75668334960938
14.8125,233.17481994628906
14.8620,232.33250427246094
14.9125,233.17481994628906
14.9619,233.7561798095703
15.0126,233.1269989013672
15.0619,231.75668334960938
15.1125,232.64706420898438
15.1619,232.01510620117188
15.2125,232.9095001220703
15.2619,231.75668334960938
15.3125,232.33250427246094
15.3619,232.5944366455078
15.4126,233.44305419921875
15.4620,232.27645874023438
15.5126,234.0663299560547
15.5619,232.13072204589844
15.6126,232.5944366455078
15.6617,232.64706420898438
15.7125,231.69482421875
15.7618,232.5944366455078
15.8127,232.85923767089844
