elapsed_time,x,y,z
0.2788,0.0,0.0,0.0
1.2786,0.0,0.0,0.0
2.2785,0.0,0.0,0.0
3.2786,0.0,0.0,0.0
4.2787,0.0,0.0,0.0
5.2786,0.0,0.0,0.0
6.2786,0.0,0.0,0.0
7.2786,0.0,0.0,0.0
8.2787,0.0,0.0,0.0
9.2786,0.0,0.0,0.0
10.2785,0.0,0.0,0.0
11.2785,0.0,0.0,0.0
12.2786,0.0,0.0,0.0
13.2785,0.0,0.0,0.0
14.2786,0.0,0.0,0.0
15.2785,0.0,0.0,0.0
16.2786,0.0,0.0,0.0
17.2788,0.0,0.0,0.0
18.2786,0.0,0.0,0.0
19.2786,0.0,0.0,0.0
20.2787,0.0,0.0,0.0
21.2787,0.0,0.0,0.0
22.2786,0.0,0.0,0.0
23.2788,0.0,0.0,0.0
24.2786,0.0,0.0,0.0
25.2787,0.0,0.0,0.0
26.2786,0.0,0.0,0.0
27.2786,0.0,0.0,0.0
28.2787,0.0,0.0,0.0
29.2785,0.0,0.0,0.0
30.2786,0.0,0.0,0.0
31.2787,0.0,0.0,0.0
32.2785,0.0,0.0,0.0
33.2785,0.0,0.0,0.0
34.2785,0.0,0.0,0.0
35.2785,0.0,0.0,0.0
36.2787,0.0,0.0,0.0
37.2788,0.0,0.0,0.0
38.2786,0.0,0.0,0.0
39.2786,0.0,0.0,0.0
40.2786,0.0,0.0,0.0
41.2787,0.0,0.0,0.0
42.2787,0.0,0.0,0.0
43.2791,0.0,0.0,0.0
44.2787,0.0,0.0,0.0
45.2787,0.0,0.0,0.0
46.2788,0.0,0.0,0.0
47.2786,0.0,0.0,0.0
48.2789,0.0,0.0,0.0
49.2787,0.0,0.0,0.0
50.2788,0.0,0.0,0.0
51.2787,0.0,0.0,0.0
52.2787,0.0,0.0,0.0
53.2786,0.0,0.0,0.0
54.2786,0.0,0.0,0.0
55.2786,0.0,0.0,0.0
56.2787,0.0,0.0,0.0
57.2788,0.0,0.0,0.0
58.2788,0.0,0.0,0.0
59.2788,0.0,0.0,0.0
60.2788,0.0,0.0,0.0
61.2788,0.0,0.0,0.0
62.2787,0.0,0.0,0.0
63.2788,0.0,0.0,0.0
64.2786,0.0,0.0,0.0
65.2788,0.0,0.0,0.0
66.2788,0.0,0.0,0.0
67.2788,0.0,0.0,0.0
68.2786,0.0,0.0,0.0
69.2786,0.0,0.0,0.0
70.2792,0.0,0.0,0.0
71.2787,0.0,0.0,0.0
72.2787,0.0,0.0,0.0
73.2787,0.0,0.0,0.0
74.2788,0.0,0.0,0.0
75.2788,0.0,0.0,0.0
76.2787,0.0,0.0,0.0
77.2787,0.0,0.0,0.0
78.2788,0.0,0.0,0.0
79.2787,0.0,0.0,0.0
80.2787,0.0,0.0,0.0
81.2786,0.0,0.0,0.0
82.2787,0.0,0.0,0.0
83.2788,0.0,0.0,0.0
84.2788,0.0,0.0,0.0
85.2786,0.0,0.0,0.0
86.2785,0.0,0.0,0.0
87.2787,0.0,0.0,0.0
88.2786,0.0,0.0,0.0
89.2786,0.0,0.0,0.0
90.2786,0.0,0.0,0.0
91.2786,0.0,0.0,0.0
92.2786,0.0,0.0,0.0
93.2786,0.0,0.0,0.0
94.2785,0.0,0.0,0.0
95.2787,0.0,0.0,0.0
96.2786,0.0,0.0,0.0
97.2789,0.0,0.0,0.0
98.2786,0.0,0.0,0.0
99.2785,0.0,0.0,0.0
100.2787,0.0,0.0,0.0
101.2787,0.0,0.0,0.0
